ecpay_payment_checkout_invalid_payment,"無效的付款方式: %s"
ecpay_payment_checkout_invalid_order,"無效的訂單"
ecpay_payment_text_credit,"Visa/MC"
ecpay_payment_text_credit_3,"信用卡(3期)"
ecpay_payment_text_credit_6,"信用卡(6期)"
ecpay_payment_text_credit_12,"信用卡(12期)"
ecpay_payment_text_credit_18,"信用卡(18期)"
ecpay_payment_text_credit_24,"信用卡(24期)"
ecpay_payment_text_webatm,"網路ATM"
ecpay_payment_text_atm,"ATM"
ecpay_payment_text_cvs,"超商代碼"
ecpay_payment_text_barcode,"超商條碼"
ecpay_payment_redirect_text_item_name,"網路商品一批"
ecpay_payment_order_comment_payment_method,"付款方式: %s"
ecpay_payment_order_comment_payment_result,"付款結果 : (%s)%s"
ecpay_payment_order_comment_atm,"取號結果 : (%s)%s, 銀行代碼 : %s, 虛擬帳號 : %s, 付款截止日 : %s"
ecpay_payment_order_comment_cvs,"取號結果 : (%s)%s, 繳費代碼 : %s, 付款截止日 : %s"
ecpay_payment_order_comment_barcode,"取號結果 : (%s)%s, 付款截止日 : %s, 第1段條碼號碼 : %s, 第2段條碼號碼 : %s, 第3段條碼號碼 : %s"
ecpay_payment_order_comment_payment_failure,"付款失敗, 錯誤訊息 : %s"
